KLC3	147700	0.0
PPP1R13L	10848	5.850772962654271e-263
ERCC2	2068	9.211664508484786e-225
ERCC1	2067	9.900744150520692e-125
MARK4	57787	7.259930995748415e-94
EXOC3L2	90332	7.259930995748415e-94
CKM	1158	7.201249460816924e-68
OPA3	80207	1.631178288346751e-63
TRAPPC6A	79090	5.530251541722353e-56
VASP	7408	9.115723211383333e-45
EML2	24139	2.4214683338541875e-43
SNRPD2	6633	5.433616513587149e-40
FBXO46	23403	2.0242995954021138e-32
BLOC1S3	388552	3.674814090922526e-32
PPM1N	147699	6.024734746288669e-31
RTN2	6253	1.1017062205815682e-30
GPR4	2828	6.762784333774442e-30
FOSB	2354	2.1496229712811108e-29
OOSP1	255649	3.004565738505413e-28
OOSP4A	112577462	3.7418197058561036e-28
OOSP4B	107987155	4.695213927369779e-28
GIPR	2696	6.663928588710536e-28
AMMECR1L	83607	2.163483691123737e-27
POLR2D	5433	8.300440068792406e-27
QPCTL	54814	8.489802961238884e-26
CCDC83	220047	8.580457596973041e-26
SYTL2	54843	7.372067952795614e-25
TCN1	6947	1.1171198643290837e-24
PPP1R37	284352	1.3344757495710842e-24
NKPD1	284353	2.7259186240007925e-24
OOSP3	112577461	4.429441890426606e-24
GEMIN7	79760	5.707988880092512e-24
CD46	4179	9.015062489486282e-24
CR1L	1379	2.9008322292522893e-23
CREBZF	58487	1.1256854479168546e-22
MS4A2	2206	1.2645045264266478e-20
CHRNA2	1135	3.8553973939372914e-20
PTK2B	2185	4.972165310986475e-20
OOSP2	219990	1.0183563933262579e-19
SYMPK	8189	8.516726128888652e-19
MS4A3	932	1.052814839923208e-18
RSPH6A	81492	1.0863527403533006e-17
NOVA2	4858	2.5590000000000037e-17
CBLIF	2694	1.7635927939328954e-16
RELB	5971	1.9404807154563945e-16
ITPK1	3705	6.42021713392778e-16
CHGA	1113	2.136564828895606e-15
CLASRP	11129	3.723993764454007e-15
ABCA7	10347	1.8961546051283237e-14
HLA-DRB1	3123	2.659712858734398e-14
BTNL2	56244	3.1383609985643073e-14
DMWD	1762	7.818999999999953e-14
HLA-DRB5	3127	4.0017997589931805e-13
TSBP1	10665	4.854962737515256e-13
AZGP1	563	6.127413584709492e-13
HLA-DQB1	3119	1.022518411256557e-12
ZNF3	7551	1.4696959275182819e-12
COPS6	10980	2.311388641605657e-12
CD2AP	23607	2.363710881383581e-12
RNF111	54778	3.712783501041264e-12
TMEM126A	84233	6.887842462330998e-12
CCDC89	220388	7.783571173166551e-12
FOXA3	3171	2.3752591818797313e-11
HLA-DRA	3122	2.5970457678244825e-11
NANOS2	339345	3.0181228971037206e-11
HLA-DQA1	3117	4.039910930172487e-11
CNN2	1265	4.112156050262981e-11
CCNB2	9133	7.331640391134162e-11
MYPOP	339344	9.023771299199616e-11
TOMM40	10452	1.0794318655521713e-10
SLTM	79811	1.1782230932728765e-10
USP3	9960	1.219324985182745e-10
APOE	348	1.2509999999999903e-10
TRIM4	89122	2.109697853489223e-10
ZNF296	162979	2.699913650538987e-10
CYP3A4	1576	6.253318888838079e-10
CYP3A43	64816	7.546007149261734e-10
ZNF235	9310	8.53999999999996e-10
ZNF233	353355	8.541000000000008e-10
ARHGAP45	23526	8.991859334857579e-10
ZNF234	10780	1.1439999999999925e-09
IRF2BP1	26145	1.147437454362385e-09
SLC39A13	91252	1.938021686913707e-09
EFCAB13	124989	2.3070215554565125e-09
HAS1	3036	2.7161169905887536e-09
PVR	5817	2.953000000000006e-09
USP6	9098	3.587405245043761e-09
GPC2	221914	3.808019960845939e-09
GAL3ST4	79690	4.086332182732887e-09
RAPSN	5913	4.31848834398005e-09
PSMC3	5702	4.600313342185558e-09
TREML1	340205	4.8491045472201855e-09
ZNF594	84622	5.439043417392079e-09
CCDC61	729440	6.490000000000024e-09
ITGB3	3690	7.110928229875448e-09
ADAMTS4	9507	7.157343203788324e-09
STMN4	81551	7.510301196695444e-09
KIF1C	10749	7.848118383924666e-09
TREM2	54209	1.0264424197050133e-08
SPI1	6688	1.066069250963997e-08
NOTCH4	4855	1.134005967168591e-08
CAMTA2	23125	1.7843428285666362e-08
WDR33	55339	2.287068458438944e-08
OARD1	221443	2.660638427860033e-08
ZNF232	7775	2.921950112668635e-08
CABCOCO1	219621	3.044191034100639e-08
SPAG7	9552	3.196802296046985e-08
CELF1	10658	4.039876978288467e-08
SCIMP	388325	4.041524089008079e-08
INCA1	388324	4.403797044459511e-08
UFC1	51506	4.9596343239182473e-08
APOC1	341	5.504434504124881e-08
AGBL2	79841	5.586999999999991e-08
UNC5CL	222643	7.942004861078827e-08
MYO1E	4643	8.003905258930848e-08
KIR2DL4	3805	8.794563501462663e-08
RALGAPA1	253959	8.961773814021969e-08
VAC14	55697	9.60115736857436e-08
CYP3A7	1551	9.965454083273764e-08
CYP3A7-CYP3A51P	100861540	9.965454083273764e-08
R3HDM1	23518	1.0648590396874699e-07
TMEM259	91304	1.0876979457355468e-07
FNBP4	23360	1.117919715130111e-07
MTSS2	92154	1.1982505676941796e-07
KIR3DL1	3811	1.4658376847907523e-07
SGCD	6444	1.782465228781775e-07
NECTIN2	5819	1.8670489250780285e-07
TRPM8	79054	1.9808531336337347e-07
GRIN3B	116444	2.218645097397715e-07
ZNF224	7767	2.4701585929142143e-07
CEBPG	1054	2.662523303228974e-07
KAT8	84148	2.709834129476777e-07
PTCHD4	442213	2.802661664124552e-07
CR1	1378	2.892571315976919e-07
IMPG2	50939	2.9239999999999963e-07
SAE1	10055	3.061e-07
PPP5C	5536	3.207999999999995e-07
SPP2	6694	3.488258109169524e-07
EPHX2	2053	3.8454851308405806e-07
TLCD3B	83723	5.087936792982995e-07
ZNF226	7769	5.315726578495953e-07
TOM1L2	146691	5.415098474024729e-07
PEPD	5184	5.661974146304155e-07
HROB	78995	5.755102614615417e-07
C16orf92	146378	5.788399872807418e-07
ANK2	287	5.989225231951991e-07
UBTF	7343	6.022792910660191e-07
SREBF1	6720	6.06254939039989e-07
PNMA8C	110806277	6.27599999999999e-07
NUP160	23279	6.508999999999961e-07
SORL1	6653	6.521716309972485e-07
HIF3A	64344	7.787220588157897e-07
TMEM126B	55863	7.989268838415884e-07
SLC52A1	55065	8.029921864043957e-07
ZFP3	124961	8.230653250082881e-07
AHCYL2	23382	8.45116870426281e-07
SIGLEC5	8778	8.771858591254084e-07
R3HDM4	91300	9.100131230540054e-07
CEACAM19	56971	9.146553707257968e-07
SMO	6608	9.438062959260623e-07
MADD	8567	9.517480968990884e-07
IGFL4	444882	9.86347892596438e-07
DLG2	1740	9.894767053575113e-07
CEACAM20	125931	9.93400609959744e-07
C5AR1	728	1.0539999999999977e-06
ALDOA	226	1.0633940723160387e-06
ADGRF4	221393	1.1701776246566974e-06
MTCH2	23788	1.1980978686653417e-06
MYBPC3	4607	1.223407529168192e-06
PLCG2	5336	1.2445820553859604e-06
NDUFS3	4722	1.2461670094416175e-06
PTPMT1	114971	1.2461670094416175e-06
KBTBD4	55709	1.5068556521169157e-06
SYT5	6861	1.511446973106465e-06
SLC8A2	6543	1.5379999999999961e-06
CLSTN2	64084	1.6184797892287913e-06
HDAC5	10014	1.624977766718093e-06
MEPCE	56257	1.6818543206195085e-06
YPEL3	83719	1.683080563723145e-06
ZSCAN31	64288	1.7127655176216996e-06
DHX34	9704	1.7899999999999996e-06
NFYA	4800	1.8310716715578917e-06
KIF21B	23046	1.880128929965702e-06
TMEM225B	100289187	1.9482319693868095e-06
C1QTNF4	114900	2.0364759030310584e-06
ZSCAN12	9753	2.0498260597226098e-06
AP4M1	9179	2.057253410600786e-06
